gracintyAvyaktarUpAya	acintyAvyaktarUpAya
TuklA	yuktvA
tatra	tatra
yaTAkramaM	yaTAkramaM
ravimaDyamaM	ravimaDyamaM
yuMjyAt	yuMjyAt
candro	candro
Bavati	Bavati
tasmAccandrAdyadA	tasmAccandrAdyadA
ddAdaSaguRaM^PalaM	dvAdaSaguRaPalaM
tiTisamUhAt	tiTisamUhAt
tyajyate	tyajyate
tadA$karRO	tadA$rko
BavatIti	BavatIti
iyamatra	iyamatra
vAsanA	vAsanA
amAvAsyAnte	amAvAsyAnte
tAvadarkacandrO	tAvadarkacandrO
samaliptI	samaliptO
tadanantaraM	tadanantaraM
candraH	candraH
pratyahaM	pratyahaM
dvAdaSaBidfdiSaBiBagErupacIyate	dvAdaSaBirdvAdaSaBirBAgErupacIyate
te	te
ca	ca
iAdaSaBAgA2dyanwrArkayorvivaraBUtAH	dvAdaSaBAgA2ScandrArkayorvivara^BUtAH
tatastayorantarAlajYAnArTamekEkA	tatastayorantarAlajYAnArTamekEkA
tiTiH	tiTiH
ddAdaSaguRA	dvAdaSaguRA
kriyate	kriyate
arkaM	arke
ca	ca
yojyate	yojyate
yato$rkasya	yato$rkasya
puro$vasTitaScandraH	puro$vasTitaScandra
SIGragAmilvAdyataH	SIGragAmitvAdyataH
kiYcidaDikattrayIdaSaBAgapramitagatiH	kiYcidaDikatrayo^daSaBAgapramitagatiH
sUryaSca	sUryaSca
kiYcidUnaBAgapramitagatiH	kiYcidUnaBAgapramitagatiH
tataSca	tataSca
dvAdaSaguRatiTayo$rke	dvAdaSaRutiTayo$rke
yojyante	yojyante
taTA	taTA
ca	ca
taddina3tiTyantaroDane	taddina3tiTyantaroDane
candraBuktaM	candraBuktaM
Bavati	Bavati
tiTayaScAndradinnaM	tiTayaScAndradinaM
tacca	tacca
sAvanadinAtrUnapramARaM	sAvanadinAnnUgnapramARaM
tasmAt	tasmAt
cAndrasAvanadinAntaraBUtamavamadinAdikaM	cAndrasAvanadinAntaraBUtamavamadinAdikaM
varttamAnatiTyavayavaBUtamapi	vartamAnatiTyavayavaBUtamapi
ddAdaSaguRamarka	dvAdaSaguRamarke
yojyante	yojyante
tatastAstiTayo$vamarSezeRa	tatastAstiTayo$vamaSezeRa
sAvanAnte	sAvanAnte
kriyante	kriyante
nanu	nanu
kaTamavagamyate	kaTamavagamyate
cAndrasAvanAntaramavamA	cAndrasAvanAntaramavamA
ityucyante	ityucyante
yataScAndradinaM	yataScAndradinaM
SrfMhftaSizwaM	hftaSizwaM
sAvanEjrihIyate	sAvanErhfyate
tato	tato
jYAyatecandrasAvanantaramavamA	jYAyate^cAndrasAvanAntaramavamA
iti	iti
taTA	taTA
sUryasidDAnte	sUryasidDAnte
spazwamuktam	spazwamuktam
sAvanAhAni	sAvanAhAni
cAndreByo	cAndreByo
dyuByaH	dyuByaH
projBAya	projJya
tiTikzayAH	tiTikzayA
iti	iti
tato	tato
ddAdaSaguRatiTiyuktAmavamadinAdikamarkayuktaM	dvAdaSaguRatiTiyuktamavamadinAdikamarkayuktaM
candramaDyamaM	candramaDyamaM
Bavati	Bavati
candrAdakartAnayanaM	candrAdarkAnayanaM
vA	vA
prAguktavEparItyena	prAguktavEparItyena
yojyam	yojyam
20	20
1	1
aA	A
pustakE	pustake
tiTayo	tiTayo
BAgyasyAne	BAgyasTAne
yojdA	yojyA
6tyasti	ityasti
2	2
SanwrArkagorvivaSa^BUtA	ScandrArkayorvivaSaBUtAH
3	3
atra	atra
taddinatiTyaMntaMsaMmaye	taddinatiTyantasamaye
tiTyantAnurIGena	tiTyantAnuroDena
vA	vA
iti	iti
sIDu	sADu
pratiBAti	pratiBAti
evamahargaRaM	evamahargaRaM
vinA	vinA
maDyamasidDiruktA	maDyamasidDiruktA
punarapyahargaRaM	punarapyahargaRaM
vinA	vinA
tayoreva	tayoreva
maDyamaM	maDyamaM
vasusupAyAntaraM	vaktumupAyAntaraM
vasantatilakAiyenAi	vasantatilakAdvayenAha
kalpADimAsaguRitA1davamAvaSezAt	kalpADimAsaguRitA1davamAvaSezAt
kzamAhoqtAt	kzmAhodDftAt
PalayutaM	PalayutaM
hyaDimAsaSezam	hyaDimAsaSezam
mAsAdikaM	mAsAdikaM
PalamattaH	PalamataH
SaSivAsarEH	SaSivAsarEH
syAt	syAt
kzamAcCErhftAcca	kzmAhErhftAcca
divasAdyavamAvaSezAt	divasAdyavamAvaSazAt
21	21
cEtrAdi2to	cEtrAdi2to
vigatamAsadinEryutaM	vigatamAsadinEryutaM
tat	tat
CAtvA	kftvA
dinAdATa	dinAdyaTa
pfTagguRitaM	pfTagguRitaM
ca	ca
viSKa	viSvEH
13	13
mAsAdinA3	mAsAdinA3
virahitO	virahitO
vihito	vihitO
krameRa	krameRa
yaddA	yadvA
divAkaratuzArakarI	divAkaratuzArakarO
BavEtAm	BavetAm
22	22
kalpADimAsaguRitAdavamAvaSezAttaddinaBavAdyahargaRAnayanavAle	kalpADimAsaguRitAdavamAvaSezAttaddinaBavAdyahargaRAnayanakAle
kalpAvamaguRitasya	kalpAvamaguRitasya
kalpaSaSidina4hftasya	kalpaSaSidina4hftasya
rASeH	rASeH
SezAt	SezAt
kzamAcchErBUdinErhftAt	kzmAhErBUdinErhftAt
viBaktAt	viBaktAt
sataH	sataH
prAmaPalena	prAptaPalena
yutamaDimAsaSezaM	yutamaDimAsaSezaM
taddinaBavaM	taddinaBavaM
kalpADimAsaguRitasya	kalpADimAsaguRitasya
kalpArkadinahftasya	kalyArkadinahftasya
rASeH	rASeH
SezaM	SezaM
kuryAditi	kuryAditi
SezaH	SezaH
apravamAvaSezaPalayuktAdataH	avamAvaSezaPalayuktAdataH
aDimAsaSezAcCaSidinEharakEH	aDimAsaSezAcCaSidinErhArakEH
mAsAdika	mAsAdikaM
PalaM	PalaM
syAt	syAt
praTama	praTamaM
mAsA	mAsA
laByante	laByante
tataKiSadAdiguRAddinaGawikAdi	tatasriMSadAdi^guRAddinaGawikAdi
PalaM	PalaM
syAditi	syAditi
yAvan	yAvat
tajYa	tacca
nAmato$pi	nAmato$pi
mAsAdikamucyate	mAsAdikamucyate
tadanazwa	tadanazwaM
vinyaset	vinyaset
punaH	punaH
pUrvotAdevAvamaSezAt	pUrvoktAdevAvamaSezAt
BUdinEhu~tAt	BUdinErhftAt
divasAdi	divasAdi
dinaGawikAdi	dinaGawikAdi
PalaM	PalaM
syAt	syAt
tacca	tacca
dinAdisaMjYAM	dinAdisaMjYA
ca	ca
laBate	laBate
taYca	tacca
dinAdisaMc	dinAdisaMjYaM
PalaM	PalaM
cEtrAdito$pi	cEtrAdito$pi
cettramAraBya	cEtramAraBya
gatamAsAnAM	gatamAsAnAM
dinEryutaM	dinEryutaM
kftvA	kftvA
aTAnantaraM^5	aTAnantaraM^5
mU	mU
pustake	pustake
dakzimAsaSezAt	daDimAsaSezAt
iti	iti
pAWa	pAWaH
cEtrAdikI$pi	cEtrAdiko$pi
gatamAsa	gatamAsa
virahitO	virahitO
sahitO	sahitO
krameRa	krameRa
-	wippaRyAM
SDD	ca
uDS	virahite
DDD	vihite
DDDD	krameRa
A	A
pustake	pustake
hratamyASI	hftasyASe
SraSEzAt	SaSezAt
dfrDapti	ityasti
y	5
-	pfTagDirASOkAryaM
ঘুঘনিমন্ত্ৰাৰ্থীন্ধাই	iti
-	vartate
pfTak	pfTak
ddirASIkAryam	dvirASIkAryam
tatrEkaM	tatrEkaM
rUpahatamaparaM	rUpahatamaparaM
ca	ca
viSvEstrayodaSaBirguRitaM	viSvEstrayodaSaBirguRitaRa
kAryam	kAryam
tato	tato
ddAvapi	dvAvapi
rASO	rASI
mAsAdinA	mAsAdinA
mAsAdisaMjYa^na	mAsAdisaMjYena
rASinA	rASinA
virachitO	virahitO
vichitO	vihitO
krameRa	krameRa
yaddA	yadvA
divAkaratuzArakaro	divAkaratuzArakarO
BavetAm	BavetAm
rUpanno	rUpaGno
mAsAdirahito	mAsAdirahito
rASirarka	rASirarkaH
viSKaGno	viSvaGno
rASi1stadrahito	rASi1stadrahito
maRqalasyAne$DimAsayuktaH	maRqalasTAne$DimAsayuktaH
candraH	candraH
syAdityarTaH	syAdityarTaH
ayaM	ayaM
prayogaHpUrvoktamavamaSezaM	prayogaHpUrvoktamavamaSezaM
kalpADimAsaNGataM	kalpADimAsahataM
BUdinErhftvA	BUdinerhftvA
labDa	labDaM
candradinarUpamaDimAsaSeze	candradinarUpamaDimAsaSeze
taddinaBave	taddinaBave
yojyam	yojyam
taTA	taTA
sati	sati
tat	tat
karmayogyaM	karmayogyaM
syAt	syAt
tacCaSidinehu~ta	tacCaSidinErhftaM
mAsAdi^GawikAnta	mAsAdiGawikAntaM
tadanazwa	tadanazwaM
sTApayet	sTApayet
taTA	taTA
taddinaBavAvamaSezAt	taddinaBavAvamaSezAt
dinAdikamapi	dinAdikamapi
sTApayet	sTApayet
ataSEvasitapratipadAderAraBya	ataScEtrasitapratipadAderAraBya
yAni	yAni
gatamA^sadinAni	gatamAsadinAni
DDDDDDDDDDDDD	tAnyavamaSezAllabDaPalena
DDDDD	sahitAni
DDDD	kAryARi
SS	evaM
DD	sTite
DDD	dvayorapi
DDBBDD	rASyoH
DDDDS	ye
mAsAste	mAsAste
rASayaH	rASayaH
ye	ye
divasAste	divasAste
BAgAH	BAgAH
yA	yA
GawikAstA	GawikAstA
liptAH	liptAH
tatto$yamaBDDDDDDDDDSSSLLSSS	tato$vamaSezalabDiBirmAsAdiBiH
DDDDDDDDD	2
DDDDDDDDD	kalpitarASyAdikaM
DDDDDD	dvisTAnagatamekaM
kuryAt	kuryAt
tato$DimAsaSezalabDyA	tato$DimAsaSezalabDyA
iAvapi	dvAvapi
rASI	rASO
hInI	hInO
kuryAt	kuryAt
taktra	tatra
yo	yo
rupaguRa	rUpaguRaH
sa~o$rkaH	so$rkaH
yastrayodaSaguRaH	yasrayodaSaguRaH
sa	sa
candra	candra
iti	iti
S	atra
DD	vAsanA
DDDD	yadaDimAsaSezaM
DDDDDDDD	tiTyantakAle
DDDDD	sTitaM
DDD	tallaNkArkodayakAlikaM
kriyate	kriyate
tadarTamuktA	tadarTamuktaM
kalpADimAsaguRitAditi	kalpADimAsaguRitAditi
yadi	yadi
yugaBUdinEryugaYcAndradinAni	yugaBUdinEryugacAndradinAni
laByantaM	laByante
tadA$nena	tadA$nena
sAvanadinAvamaSezasaMjYakena	sAvanadinAvamaSezasaMjYakena
dinena	dinena
kimityatra	kimityatra
cawradivasa	candradivasA
guRakAraH	guRakAraH
BAgahAro$pi	BAgahAro$pi
tatsama	tatsama
eva	eva
tatastulyatvAnnASe	tatastulyatvAnnASe
ddayoM	dvayo
rASyoH	rASyoH
Cate$vamparSetprasya	kfte$vamaSerAsya
yugADimAsA	yugADimAsA
guRakAraH	guRakAraH
BUdivasA	BUdivasA
BAgahAraH	BAgahAraH
PalaM	PalaM
candradinAni	candradinAni
maDyamAni	maDyamAni
tato$DimAsapAtakAlamAraByezwasAvanadinA3ntAnuroDenArkacandramAnayorantarasADanAyedaM	tato$DimAsapAtakAlamAraByezwasAvanadinA3ntAnuroDenArkacandramAnayorantarasADanAyedaM
yadi	yadi
yugacAndradinEryugADimAsA	yugacAndradinEryugADimAsA
laByante	laByante
tadA$DikamAsraSeyAntaH	tadA$DikamAsaSezAntaH
pAtiBiScandradinEH	pAtiBiScandradinEH
kimityevaMsTitE	kimityevaM^sTite
yugAMDimAsaguRitAni	yugADimAsaguRitAni
candradinAni	candradinAni
tizWanti	tizWanti
ato	ato
na	na
punarguRyante	punarguRyante
yugaSaSidinErevADimAsaSezasya	yugaSaSidinErevADimAsaSezasya
sAvanAntasya	sAvanAntasya
BAgo	BAgo
hiyate	hriyate
PalamaDimAsAtmaka	PalamaDimAsAtmakaM
mAsAdova	mAsAdyeva
yujyate	yujyate
dvitIyaM	dvitIyaM
vErASika	trErASikaM
taddinotyasAvanamAnAvamaSezasya	taddinotTasAvanamAnAvamaSezasya
cAndrIkaraRAya	cAndrIkaraRAya
tadyaTAyugaBUdinEryuga	tadyaTAyugaBUdinEryuga
1	1
A	aA
pustake	pustake
rASistidradvitaM	rASistadrahitaM
dftiM	iti
varttate	varttate
R	2
0S	tato$vamaSezalabDirmAsAdiBiH
DDDDDDDDDDDDS	kalpitarASyAdikAM
DDDDBBDD	dvisTAnagatAmekAM
SuRAM	guRAM
kuryAt	kuryAt
dftyasti	ityasti
ل	3
آتی	dinAntaniroDenArka
آلا	ityasti
cAndradinAni	cAndradinAni
laByante	laByante
tadA$nena	tadA$nena
sAvanamAnAvamaSezeRa	sAvanamAnAvamaSezeRa
kiyaccAndramityatrApi	kiyaccAndramityatrApi
guRakAracCedayornASe	guRakAracCedayornASe
Cate	kfte
cAndradinAnyevAvamaSezasya	cAndradinAnyevAvamaSezasya
BAgahAraH	BAgahAraH
PallaM	PalaM
candradinAni	candradinAni
1	1
maDyatiTyantAkadayayorantaram	maDyatiTyantArkodayayorantaram
tatrEva	tatrEva
cEtrAderAraBya	cEtrAderAraBya
taddinArkodayAvaDika	taddinArkodayAvaDikaM
cAndra	cAndraM
ButaM	BuktaM
Bavati	Bavati
tAvadeva	tAvadeva
SezAdika	SezAdikaM
raviRA	raviRA
muktasyAt	BuktaM^syAt
mAsAdyerASyAdikalpitEryaYcAndrasIramAnayorantaraM	mAsAdyE^rASyAdikalpitEryaccAndrasOramAnayorantaraM
taccADimAsaSezotyaM	taccADimAsaSezotTaM
tayorantaram	tayorantaram
artastasmAdaDimAsaSezalavDa	atastasmAdaDimAsaSezalabDaM
viSoDyaM	viSoDyaM
maDyamAkarma	maDyamArko
2	2
yujyate	yujyate
trayodaSaguRamaDimAsaSezalabDayA	trayodaSaguRamaDimAsaSezalabDyA
hInaSvandro	hInaScandro
Bavati	Bavati
yata	yata
eka	eka
guRo$DimAsaSezahIno$ka	guRo$DimAsaSezahIno$rko
Bavati	Bavati
tatra	tatra
ddadaSaguRAsti^TayaH	dvAdaSaguRAstiTayaH
prAgvAsanayA	prAgvAsanayA
yojyante	yojyante
labDiScandra3•^mAnAmikA	labDiScandra3mAnAtmikA
tiTiraDi	tiTirapi
taTeti	taTeti
yaddAavamaSezaH	yadvAavamaSezaH
SaSidinAnAmavayavaH	SaSidinAnAmavayavaH
SaSidinAnAM	SaSidinAnAM
cADimAsA	cADimAsA
guRakAraH	guRakAraH
cakzusso$DimAsErityucyate	kzuRRo$DimAsErityucyate
tataSca	tataSca
tErEva	tEreva
tadavayavAnAMmuRnaM	tadavayavAnAM^guRanaM
hanti	hanti
yaॉ$SinaM	yo$MSinaM
tenEvAMSasya	tenEvAMSasya
hanana	hanana
miti	miti
nyAyAt	nyAyAt
tasmAdaDikamAsAt	tasmAdaDikamAsAt
avamaSezasya	avamaSezasya
guRakAraH	guRakAraH
BUdivaso	BUdivaso
BAgahAraH	BAgahAraH
PalamaDikaSeze	PalamaDikaSeze
cakzepyam	kzepyam
evaM	evaM
BUtamaDikaSezaM	BUtamaDikaSezaM
SaSidinEhrItvA$$ptA	SaSidinErhftvA$$ptA
mAsA	mAsA
Bavanti	Bavanti
tadasamBave	tadasamBave
aDikAhvAptO	aDikAhAptO
vAsanA	vAsanA
trErASikasidDA	trErASikasidDA
kaTayadi	kaTaMyadi
kalpaSaSidinE	kalpaSaSidinEH
kalpADika^viMSadBAgA4	kalpADikatriMSadBAgA4
laByante	laByante
tadA$DikamAsapatanottarakAlaBavEH	tadA$DikamAsapatanottarakAlaBavEH
SaSidinEH5	SaSidinEH5
kiyanta	kiyanta
ityatra	ityatra
triMSat	triMSat
guRakAraH	guRakAraH
SaSidivasA	SaSidivasA
BAgahAraH	BAgahAraH
yatrADikAYchAH	yatrADikAhAH
PalaM	PalaM
punarapi	punarapi
zazwayAdiguRAt	zazwyAdiguRAt
GawikAdayaH	GawikAdayaH
punarapi	punarapi
cAndradinatadavayavagraYchfRAvamaSezaM	cAndradinatadavayavagrahaRAvamaSezaM
BUdinErharezv–	BUdinErharet
labDAdayaH	labDAdayaH
tattradinasadBAve	tatra^dinasadBAve
kalpagatAH	kalpagatAH
sOradinEH	sOradinEH
saha	saha
saMyujya	saMyujya
GawikAdikaM	GawikAdikaM
tadaDaH	tadaDaH
krameRa	krameRa
sTApayitvA	sTApayitvA
tatsarva	tatsarvaM
DD	dviDA
DBBDD	kftvA
DDD	ekaM
DDDDDDDD	rUpahatamaparaM
DDDD	viSvahataM
DDD	kftvA
DDDDDDDD	tAByAmaDimAsAdikaM
GDDDS	rASyAdi
syAnAcCoDayet	sTAnAcCoDayet
aprakamaDyamacandramaDyamasidDiH	arkamaDyamacandramaDyamasidDiH
atra	atra
vAsanAyataH	vAsanAyataH
sOracAndrayorantaramaDikamilyUktam	sOracAndrayorantaramaDikamityuktam
atayAndrA6SSLSLSSSLSLSS	ataScAndrA6
SS	1
SSqqqSSSSSSLSSLLSLSSSSS	aA
SSS	pustake
SSS	maDyatiTyarkAntodayoH
S	iti
SSSLS	varttate
2	2
maDyamArke	maDyamarki
yujyate	yujyate
s	3
S	candramAnasAtmikA
4	4
triSaJAgA	triMSadBAgA
lakzyane	lakzyante
4	5
Mkriyanta	kriyanta
ityatra	ityatra
e	6
SvAnwrAdaDikaॅnyUkra	ScAndrAdaDiketyukte
daDike	daDike
tyatI	tyakte
sOramavaSizyate	sOramavaSizyate
atrADikamAsAnAmanaNgICatalvA1tAMsyakzva	atrADikamAsAnAmanaNgIkftatvA1ttAMstyaktEva
dinA^dayastu	dinAdayastu
SoDyante	SoDyante
2tato$rkaScandro$pi	2tato$rkaScandro$pi
na	na
duravaboDaH	duravaboDaH
taTAhisAvamAstiTayayAndradivasAH	taTAhisAvamAstiTayaScAndradivasAH
atastezu	atastezu
trayodaSAhatezvaDikAYchADikAScAndradivasAH	trayodaSahatezvaDikAhADikAScAndradivasAH
sampadyante	sampadyante
SrapratastaByo$DikAhatadavayavezu	atasteByo$DikAhatadavayavezu
tyatIzu	tyaktezu
cAndrA	cAndrA
evAvaSizyante	evAvaSizyante
kaTamidamavagamya^te	kaTamidamavagamyate
cAndrAstrayodaSaddatA	cAndrAstrayodaSahatA
aDikANGADikAyAndrA	aDikAhADikAScAndrA
iti	iti
atra	atra
bUmaHpaYcaSelAdridasnezu	brUmaHpaYcaSElAdridasrezu
vedAdiDasamitAH	vedAbDisammitAH
SaSwyabdAH	SaSyabdAH
atastezu	atastezu
trayodaSaSchatezu	trayodaSahatezu
SaSiBagaRapUrteranantaraM	SaSiBagaRapUrtteranantaraM
SDDDDDDDDDuuDuDuuDDuuDuY	bARAdriSEladasrAgnicandrasammitA
uDuDDDDD	aDikAbdasaMKyA
DDDDD	atiricyante
SS	ato$Dikasya
tyAgIM	tyAge
SaSiBagaRA	SaSiBagaRA
eva	eva
BavantIti	BavantIti
SaSimaDyama	SaSimaDyama
sidDiriti	sidDiriti
2122	2122
punarapi	punarapi
candrArkayoreva	candrArkayoreva
maDyamAnayanopAyAntaraM	maDyamAnayanopAyAntaraM
vaMSasTavfttenAha	vaMSasTavfttenAha
ravIndugatyantaraBAgatAqita	ravIndugatyantaraBAgatAqitaM
kzayAvaSezaM	kzayAvaSezaM
SaSivAsaroqtam	SaSivAsarodDftam
ravi	ravi
12	12
GnatiTyaMSayutaM	GnatiTyaMSayutaM
vinikzipe^dravO	vinikzipedravO
viDustadrahiMto	viDustadrahi
viDU	viDU
raviH	raviH
23	23
ravInddoryadBatyantaraM	ravIndvoryadgatyantaraM
tena	tena
guRitamavamaSezaM	guRitamavamaSezaM
SaSidinodDftaM	SaSidinodDftaM
BAgAdirUpaM	BAgAdirUpaM
Bavati	Bavati
etena	etena
ddAdaSaGnatiTayaH	dvAdaSaGnatiTayaH
sAvanadinAnte	sAvanadinAnte
kriyante	kriyante
punaH	punaH
ddAdaSaGnEH	dvAdaSaGnEH
kalpAdisIradinEvEvAdigatatiTiBiSvAMSe	kalpAdisOradinEScEtrAdigatatiTiBiScAMSe
BAgasTAne	BAgasTAne
yaTA	yaTA
yutaM	yutaM
Bavati	Bavati
taTA	taTA
ravI	ravO
kzipEt	kzipet
viDuSvanwro	viDuScandro
Bavati	Bavati
tatra	tatra
maRqalasTAne	maRqalasTAne
ravimaRqalEH	ravimaRqalEH
saNGADimAsAnapi	sahADimAsAnapi
yojayet	yojayet
parNalAdicandramaDyamasidDiH	maRqalAdicandramaDyamasidDiH
tasmAdeva	tasmAdeva
candrAdaDikamAsAn	candrAdaDikamAsAn
vichAya	vihAya
Sizwasya	Sizwasya
BAgAsTAne	BAgasTAne
ddAdaSaGratirTon	dvAdaSaGnatiTIn
SaSidinobftacyAvaSezaPalaM	SaSidinodDftakzayAvaSezaPalaM
ca	ca
SoDayet	SoDayet
Sizwa	SizwaM
pUrAqa़lAdi	maRqalAdi
ravimaDyaM	ravimaDyaM
Bavati	Bavati
1	1
a	A
pustake	pustake
ཆེ་རྣཅ།	te
-	tyaktEva
ityasti	ityasti
2	2
aA	A
pustake	pustake
tattI$rkacandro$pi	tato$rkacandro$pi
dfti	iti
vartate	varttate
S	yugacAndramAsAH
DDDDDS	53433300
SDDDD	dvAdaSaBaktaH
DDD00	4452775
DDBBYS	yuge
DDDDBD	SaSyabdAH
D	ete
DD	trayodaSahatAH
BBDBDDSS	5
yugacandraBagaREreBiH	yuugfcalBagaRuEfruiAiBaH
577533oo	57886075
hrOnI	hInA
jAta	jAtAH
32775	132775
bfRAdriSEladastrargri^candramaM^raLaca1^	bARAdriSEladasrAgnicandrasaMKyAH
ayaMprayogaHtriyodaSa	ayaM^prayogaH^trayodaSa
BAgA	BAgA
daSa	daSa
liptAH	liptAH
paYcatriMSat	paYcatriMSat
viliptAScandrasya	viliptAScandrasya
gatiH	gatiH
raverekonUzazwirlisA	raverekonazazwirliptA
yazwO	azwo
vilisAya	viliptASca
gatiH	gatiH
tayorantaraM	tayorantaraM
ddAdaSaBAgAH	dvAdaSaBAgAH
ekAdaSa	ekAdaSa
litAH	liptAH
samaviMSatiSva	saptaviMSatiSca
vilisAH	viliptAH
taTA	taTA
cAvamaSeza	cAvamaSezaM
virASI^katya	trirASIkftya
eka	ekaM
BAgEranDa	BAgEranyaM
liptABiraparaM	liptABiraparaM
viliptABiSca	viliptABiSca
zazwayoparyuparyAropya	zazwyoparyuparyAropya
SaSidinErharet	SaSidinErharet
labDA	labDA
BAgAstataH	BAgAstataH
zazwyAdiguRA	zazwyAdiguRA
liptAdayaH	liptAdayaH
tato	tato
varttamAnAvaDiH	varttamAnAvaDi
ddAdaSaGnatirDEnBAgEH	dvAdaSaGnatiTIn^BAgEH
saha	saha
yojayet	yojayet
sarva	sarvaM
hiDA	dviDA
CalvA	kftvA
ekatra	ekatra
ravimapi	ravimapi
yaTAkrama	yaTAkramaM
yojayet	yojayet
maRqalAdicandra^maDyamasidDiH	maRqalAdicandramaDyamasidDiH
evaM	evaM
candrasyAparijYAne	candrasyAparijYAne
yadA	yadA
tu	tu
candro	candro
jYAtaH	jYAtaH
akarRO	arko
na	na
jYAtastadA	jYAtastadA
pfTakkataM	pfTakkftaM
rASiM	rASiM
candramaDyamAcCoDayet	candramaDyamAcCoDayet
arkamaDyamaM	arkamaDyamaM
Bavati	Bavati
yaddA	yadvA
maRqalAni	maRqalAni
vihAya	vihAya
rASyAdiBiSEtrAditiTiBi	rASyAdiBiScEtrAditiTiBiH
kzayAvaSezaPalena	kzayAvaSezaPalena
ca	ca
gaRitamUhanIyam	gaRitamUhanIyam
vAsanA	vAsanA
tu	tu
mahrIdinEdyukzayaSezata	mahIdinErdyukzayaSezata
ityatrokta^vadutreyA	ityatroktavadunneyA
23	23
punarapyahurgaRaM	punarapyahargaRaM
gwarholvopAyAntaraM	gwahItvopAyAntaraM
dftavilambitena	drutavilambitena
vasenAha	vfttenAha
dinagaRe	dinagaRe
SaSimAsahate	SaSimAsahate
hfte	hfte
kzitidinErBagaRAdi	kzitidinErBagaRAdi
yadApyate	yadApyate
Bavati	Bavati
tena	tena
yutastaraRiH	yutastaraRiH
SaSI	SaSI
SaSaDaro	SaSaDaro
rahitaSca	rahitaSca
divAkaraH	divAkaraH
24	24
aBIzwAhargaRa	aBIzwAhargaRe
SaSimAsaguRita	SaSimAsaguRite
kzitidinEdDa^te	kzitidinErhfte
BagaRAdi	BagaRAdi
yatPalamApyate	yatPalamApyate
tena	tena
yuto$kaH	yuto$rkaH
SaSO	SaSI
Bavati	Bavati
tena	tena
Palena	Palena
rahitaH	rahitaH
SaSaDaraSca	SaSaDaraSca
divAkaraH	divAkaraH
syAdityancayArTA~	syAdityanvayArTO
prayoga	prayogaH
spazwiyaM	spazwaHiyaM
vAsanA	vAsanA
SaSimAsA	SaSimAsA
nAma	nAma
ravicandraBagaRAntara	ravicandraBagaRAntaraM
taTA	taTA
cezwANGargaRe	cezwAhargaRe
SaSimAsahate	SaSimAsahate
BUdina^hfte	BUdinahfte
sati	sati
varttamAnArkacandrayorantaraM	varttamAnArkacandrayorantaraM
labDa	labDaM
Bavati	Bavati
tamitrantare	tasminnantare
mandagAminA$rkeRa	mandagAminA$rkeRa
yuto	yuto
SOGaKandrI	SIGraScandro
BavatiASEGragAminaTandrAt	Bavati^SIGragAminaScandrAt
tyate	tyakte
mandagatirakI	mandagatirarko
BavatIti	BavatIti
24	24
evaM	evaM
candrArkayorviSezamuhvA	candrArkayorviSezamuktvA
punarapi	punarapi
sarvagrahasADAraRaM	sarvagrahasADAraRaM
gaRitaM	gaRitaM
drutavilambitadvattenAhi	drutavilambitavfttenAha
aviditagrahapayayasaNgaRe	aviditagrahaparyayasaNguRe
saBagaRe	saBagaRe
vidita	vidite
kftaliptike	kftaliptike
viditaklpajacakrAMviBAjite	viditaklpajacakraviBAjite
Bavati	Bavati
vA	vA
viditaH	viditaH
sa	sa
kalAdikaH	kalAdikaH
25	25
aviditaH	aviditaH
jYAtumizwo	jYAtumizwo
yo	yo
grahastasya	grahastasya
paryayEH	paryayEH
BagaREH	BagaREH
saMguRe	saguRe
yasya	yasya
viditasya	viditaraya
sa	sa
taTA	taTA
tasmin	tasmin
saBagaRe	saBagaRe
maRqalasahite	maRqalasahite
vidite	vidite
grahe	grahe
Cataliptike	kftaliptike
viditasya	viditasya
grahasya	grahasya
kalpajacakrEH	kalpajacakrEH
kalpaBagaRErviBAjite	kalpaBagaRErviBAjite
sati	sati
sa	sa
jijYAsito	jijYAsito
grahaH	grahaH
kalAdiko	kalAdiko
vidito	vidito
Bavati	Bavati
vA	vA
Sabda	Sabda
upAyAntaradyotanArTaH	upAyAntaradyotanArTaH
avidita	avidita
iti	iti
vA	vA
CedaH	CedaH
avidito	avidito
grahaH	grahaH
kalAdiko	kalAdiko
Bavati	Bavati
kalAH	kalAH
zazwyAropya	zazwyAropya
BAgAstAn	BAgAstAn
triMSatA$$ropya	triMSatA$$ropya
rASayaH	rASaya
tAn	tAn
ddAdaSaBirAropya	dvAdaSaBirAropya
BagaRA	BagaRA
ityarTaH	ityarTaH
ayaM	ayaM
prayIgaHayaM	prayogaHayaM
graddo	graho
mayA	mayA
jYAyaH	jYAyaH
jYAtenAnenAjYAtamasukataM	jYAtenAnenAjYAtamamukaM
maDyamaM	maDyamaM
Bavati	Bavati
irya	iyaM
vErAMSika^vAsanA	trErASikavAsanA
SokenopAya	SlokenopAyaH
kaTyatevidita	kaTyateviditaM
maRqalAdiliptAnta	maRqalAdiliptAntaM
graha	grahaM
lisICAtyAjYAtagrahaparyayEH	liptIkftyAjYAtagrahaparyayEH
halvAH	hatvA
jYAtagrahasya	jYAtagrahasya
BagaRErharet	BagaRErharet
labDaM	labDaM
jijYAsitagracCvasya	jijYAsitagrahasya
kalAtmakaM	kalAtmakaM
maDyama	maDyamaM
Bavati	Bavati
iyaM	iyaM
