sUlamiti	mUlamiti
dAdaSaBirapavasya	dvAdaSaBirapavarttya
iraRasutAsupAyacAturyAditi	haraRamuktamupAyacAturyAditi
44	44
idAnImindravajvAzWatena	idAnImindravajrAvfttena
maDyacCAyAtatkarRAnayane	maDyacCAyAtatkarRAnayane
prasidDasupAyasutvA	prasidDamupAyamuktvA
upAyA^ntarARyatidiSati	upAyAntarARyatidiSati
cijyAnatajye	trijyAnatajye
ravi^12BirviniGna	ravi12^BirviniGne
SrutipraBe	SrutipraBe
vonnatajOvayApta	vonnatajIvayApte
maDyapraBA	maDyapraBA
vA	vA
kaTitaprakArErdinArDakAjAddaGqa़्DA	kaTitaprakArErdinArDakAlAdvahuDA
prasADyA	prasADyA
45	45
trijyAM	trijyA
raviBiItvA	raviBirhatvA
SaNkunA	SaNkunA
hftvA$$ptA	hftvA$$ptA
Sruti	SrutiH
dfgjyAM	dfgjyAM
raviBirhftvA1	raviBirhatvA^1
iraRe$Ngu^lAdyAtmikA	haraRe$NgulAtmikA
maDyaprametyarTaH	maDyapraBetyarTaH
karRavargAt	karRavargAt
dvAdaSavarga	dvAdaSavargaM
viSoDya	viSoDya
SizwA$Nga^lAdyAtmikA	SizwA$NgalAdyAtmikA
maDyapraBA	maDyapraBA
syAt	syAt
yaTA^2caradalayutahInAdityAdinyAyena	yaTA^2^caradalayutahInAdityAdinyAyena
izwacCAyAnOtA	izwacCAyA$$nItA
taddaddinArDakAlamizwakAlaM	tadvaddinArDakAlamizwakAlaM
parikalpaya	parikalpya
izwacCAyAvadeva	izwacCAyAvadeva
maDyacCAyA	maDyacCAyA
bahuBi	bahuBiH
prakArerAnayeti	prakArErAneyeti
45	45
punaraBIzwacCAyAkarRAnayanATE	punaraBIzwacCAyAkarRAnayanArTaM
yudalAnyAnyayorAnayanaM	dyudalAntyayorAnayanaM
SArdUlavikrIqa़itenAha	SArdUlavikrIड़itenAha
KAhorAcadalaM	svAhorAtradalaM
yutInamavanOmOvyA	yutonamavanImOrvyA
dinADAnyakA	dinArDAntyakA
vyAsArDe	vyAsArDaM
carajOvayA	carajIvayA
Bavati	Bavati
sA	sA
cAntyA$rkagolakramAt	cAntyA$rkagolakramAt
yAdyA$Ta	AdyA$Ta
dyudalotTakarRaguRitA	dyudalotTakarRaguRitA
CedobftA	CedodDftA
vA	vA
SrutiH	SrutiH
syAdanyA$pi	syAdantyA$pi
dinArDakarRaguRitA3jyAptA	dinArDakarRaguRitA3jyAptA
ca	ca
karRo$TavA	karRo$TavA
46	46
brahmaSuma	brahmaguptaH
nataBAgajyA	nataBAgajyA
dvAdaSaSuRIvratAMgrajyayA	dvAdaSaguRonnatAMSajyayA
labDam	labDam
izwadinArDacCAyA	izwadinArDacCAyA
yaToktakaraRErdinArDAqA	yaToktakaraRErdinArDAdvA
udratajOvABatA	unnatajIvABaktaM
vyAsArDa	vyAsArDaM
dvAdayAhataM	dvAdaSAhataM
karRa	karRaH
1	1
acaRqunA	atra^SaNkunA
iraRa	haraRe
iti	iti
sADu	sADu
pratIyate	pratIyate
2	2
aca	atra
varadalayutahOnA	varadalayutahInA
iti	iti
SrA	A
pustake	pustake
3	3
aca	atra
mU	mU
pustake	pustake
di	dvi
pustake	pustake
ca	ca
jDAica	jyAhfcca
karRo$TavA	karRo$TavA
iti	iti
pAWaH	pAWaH
brahmaguptIneKAhorAtrArDasudagadaciRayo	brahmaguptokteHsvAhorAtrArDamudagdakziRayoH
citiMbyayA	kzitijyayA
yutavihInamA—	yutavihInam
dyudalAnyajyA	dyudalAAntyajyA
cijyA	trijyA
cayadvadDijyAyutInAnyA^1	kzayavfdDijyAyutonAntyA^1
33	258
sidDAntaSeKare	sidDAntaSeKare
GaTavA	aTavA
karRa	karRa
evaM	evaM
sADya	sADyaH
kaTaM	kaTaM
1	1
KAiMIrAtrArTaM	svAhorAtrArTaM
citijyA	kzitijyA
SrakagIlakramAt	arkagolakramAt
sEOmyayAmyagIlakramAt	sOmyayAmyagolakramAt
yutInaM	yutonaM
dinArDAntyAsaMjYA	dinArDAntyAsaMjYA
Bavati	Bavati
uttaragIle	uttaragole
citijyayA	kzitijyayA
yujYAM	yuktaM
sOmyagIle	sOmyagole
rahitaM	rahitaM
KAhIrAtrArDa	svAhorAtrArDaM
dinArDAntyAsaMjYA	dinArDAntyAsaMjYA
syAt	syAt
taTA	taTA
sOmyayAmyagIlakramAccaradalajyayA	sOmyayAmyagolakramAccaradalajyayA
yutInA	yutonA
yA	yA
trijyA	trijyA
sA	sA
cAntyA	cAntyA
nAma	nAma
syAt	syAt
tatrAdyAM	tatrAdyo
dyudalAntyAM	dyudalAntrAM
maDyANgakarRana	maDyAhnakarRena
itvA	hatvA
KAhorAcezwajyayA	svAhorAtrezwajyayA
haret	haret
PalamizwakarRa	PalamizwakarRaH
SrantyAmapi	antyAmapi
dinArDakarReguRitAM	dinArDakarRaguRitA
jyayA	jyayA
prAgvaddInnatakAlataScaradalenInADikAdityAdinAnItA	prAgavaddonnatakAlataScaradalenonADikA^dityAdinAnItA
yA	yA
jyA	jyA
tayA	tayA
haret	haret
PalamizwakarRa	PalamizwakarRaM
Dfti	iti
pratra	atra
vAsanAniraDvacitijIdayAstasvasyAyaH	vAsanAnirakzakzitijodayAstasUtrasyAyaH
elAkAyASca	SalAkAyASca
Katra	yatra
sampAtastatra	sampAtastatra
sUtrasyEkamayaM	sUtrasyEkamagraM
baDvA	baDvA
dvitIyamUrDvatrOtvA	dvitIyamUrDvannItvA
yAmyottaradvattaKAhorAtravfttayoH	yAmyottaravfttasvAhorAtravfttayoH
sampAta	sampAte
baDnIyAt	baDnIyAt
sA	sA
dyudalAntyA	dyudalAntyA
Bavati	Bavati
tacca	tacca
sUtraM	sUtraM
sAce	sAkze
deSe	deSe
acvaSAt	akzavaSAt
2	2
triyuga	triyug
Bavati	Bavati
unmaRqalavat	unmaRqalavat
KodayAstasUtramityuJam	svodayAstasUtramityuktam
tanmaDyAt	tanmaDyAt
KAmlorAtrArDa	svAhorAtrArDaM
sAti	sAkze
deSa	deSe
tiryak	tiryak
Kite	sTite
gIte	gole
Bavati	Bavati
atI	ato
niracasAcIdyAstasruvAntraM	nirakzasAkzodayAstasUtrAntaraM
citijAtuKyam	kzitijAtulyam
atastasyottaragoleyogutunmaRqlavaSAt	atastasyottaragole^yoga^uktaH^unmaRqalavaSAt
KIdyAstacvasya	svodayAstasUtrasya
niracIdayasUtrAdupari	nirakzodayasUtrAdupari
sTitatvAddaciRagIle	sTitatvAddakziRagole
viparItam	viparItam
atastadantaraM	atastadantaraM
SoDyate	SoDyate
yadA	yadA
punastadeva	punastadeva
KAhorAtraM	svAhorAtraM
vyAsArDa	vyAsArDaM
parikalpyate	parikalpyate
tadA	tadA
tadanusAreRa	tadanusAreRa
citijyA	kzitijyA
caradalacyA	caradalajyA
Bavati	Bavati
tayA	tayA
golavaSAdyutIOnAntyA	golavaSAdyutahInAntyA
yujyate	yujyate
vizuvaddine	vizuvaddine
krAnticiticyAcaradalAnAmaBAvAt	krAntikzitijyAcaradalAnAmaBAvAt
vizuvanmaRqalapUrvAparasUtrameva	vizuvanmaRqalapUrvAparasUtrameva
niracasAcyIruwyAstasttraM	nirakzasAkzayorudayAstasUtraM
Bavati	Bavati
trijyeva	trijyEva
dyudalAnyajyA	dyudalAntyajyA
ca	ca
syAditi	syAditi
atastAByAM	atastAByAM
krudjyAByAM	CedajyAByAM
cezwakarRAnayane	cezwakarRAnayane
trErASikiyam	trErASikadvayam
yadi	yadi
kedakarRena	CedakarRena
maDyANgakarRo	maDyAhnakarRo
laByataM	laByate
dyudalAnya^karRena	dyudalAntyakarRena
ka	ka
iti	iti
praTamaM	praTamaM
yadi	yadi
jyAkarRana	jyAkarRena
maDyANgakarRO	maDyAhnakarRo
laByate	laByate
tadA$ntyAkarRena	tadA$ntyAkarRena
ka	ka
iti	iti
PalamizwakarRe	PalamizwakarRaH
tasmAdizwacCAyAnayanaM	tasmAdizwacCAyAnayanaM
prAgvat	prAgvat
46	46
kedaCutA	CedahftA
dya^dalAntyA	dyudalAntyA
dinArDakarRana	dinArDakaRena
saMguRA	saMguRA
karRa	karRaH
BaktA	BaktA
jyayA$TavA$ntyA	jyayA$TavA$tyA
dinacEka^RrachratA	dinArDakarRahftA
karRe	karRaH
2a	2
asyA	asyA
anurupamevEtat	canurUpamevEtat
1	1
aca	atra
KAqa़IrAcADE	svAhorAtrArDaM
citijyaTA	kzitijyayA
iti	iti
sADu	sADu
pratiBAti	pratiBAti
2	2
Sraca	atra
tiyEgU	tiryag
Bavati	Bavati
iti	iti
sADu	sADu
pratIyate	pratIyate
tripraSaADyAyaH	tripraSnADyAyaH
રૂટ	259
prakArAntareRa	prakArAntareRa
dyudalAntyAByAM	dyudalAntyAByAM
CedajyayorAnayanArTamindravajcAmAi	CedajyayorAnayanArTamindravajrAmAha
nato16kramajyA	nato1tkramajyA
guRitA	guRitA
BcameRa	BrameRa
hftA	hftA
vimOvyA$Ta	trimOrvyA$Ta
Palena	Palena
hInA	hInA
dinA2rDajAntyA	dinA2rDajAntyA
yadi	yadi
vA	vA
hftiH	hftiH
syA^vratajyayInA	syAnnatajyayonA
tvaTavAnlyakA	tvaTavAntyakA
jyoM^47%	jyA47
dinArDe	dinArDe
yadaBuktaM	yadaBuktaM
taM	taM
tadunnataM	tadunnataM
tasmAvratAduvrataprARahrInAnnataprARasamUhrAt	tasmAnnatAdunnataprARahInAnnataprARasamUhAt
kraBajyAM	kramajyAM
gwahItvA	gfhItvA
dfzwaKAhIrAtrADena	izwasvAhorAtrArDena
hftvA	hatvA
3	3
digjyayA	digjyayA
haret	haret
labDaPalena	lavvaPalena
qrInA	hInA
dyudaKAntyA	dyudalAntyA
pUrvoktA	pUrvoktA
hftirizwakAlajaSCeda	hatirizwakAlajacCedaH
syAt	syAt
yadi	yadi
vati	veti
viDAntarastUcaka	viDAntarasUcakaH
SraTavA	aTavA
natajyayA	natajyayA
nataprARAnAM	nataprARAnAM
kramajyayA	kramajyayA
hInA$ntyakA	hInA$ntyakA
pUrvotvA	pUrvoktA
jyAKyA	jyAKyA
Bavet	Bavet
hfteKa^dvatirinapalakarRatuRRaBajYA	hfteSca^hftirinapalakarRakzuRRaBuktA
ca	ca
SaNkarityAdikaM	SaNku^rityAdikaM
pUrvavat	pUrvavat
taTA	taTA
syAyA	jyAyA
jyAKyA	jyAKyA
dinajyAhatetyAdinA	dinajyAhatetyAdinA
CedAdikaM	CedAdikaM
prAgvat	prAgvat
Sratra	atra
vAsanAdyuzwatenopalacitacijYe	vAsanAdyuvfttenopalakzitacihne
sUtraM	sUtraM
baDvA	baDvA
yAmottaramaRqalAdaDasyAM	yAmottaramaRqalAda^yasyAM
diS	diSi
icitijAttAvatyucCrita	kzitijAttAvatyucCrite
pradeSe$nyadagraM	pradeSe$nyadagraM
baGnIyAt	baDnIyAt
tarapUrvAparAyataM	tatpUrvAparAyataM
jyAvawvatizWata	jyAvadavatizWate
etattatra	etattatra
yuvata	dyuvftte
upariDanuHKaRqasya	upariDanuHKaRqasya
natItkramajyA	natotkramajyA
Sro	Saro
Bavati	Bavati
asya	asya
jyArupatvAiyAsArDagA	jyArUpatvAdvyAsArDagA
dyuzWate	dyuvftte
pariRAmyate	pariRAmyate
cerASikenavyAsArDamaRqale	trErASikenavyAsArDamaRqale
iyartI	iyatI
duyuzWate	dyuvftte
viAyatIti	kiyatIti
tayonaM	tayonaM
dyudalAntyajyAKaRqa़mavaSizyate	dyudalAntyajyAKaRqamavaSizyate
sa	sa
cezwakAlacCdasamaH	cezwakAlacCedasamaH
syAt	syAt
sa	sa
ca	ca
dyuvatta	dyuvftta
unnataGawikAnAM	unnataGawikAnAM
jyA	jyA
Bavati	Bavati
sa	sa
cCeda	cCedaH
raDAt	syAt
evaM	evaM
natajyAcInA$ntyA$pyuvratajIvArUpA	natajyAhInA$ntyA$pyunnatajIvArUpA
syAt	syAt
vAsanAyA	vAsanAyAH
samatvAt	samatvAt
SezaM	SezaM
prAgvat	prAgvat
47	47
1	1
aca	atra
gU	mU
pustake	pustake
ddi	ddi
pustake	pustake
ca	ca
natIrakramajyAM	natotkramajyA
iti	iti
taTA^2	taTA^2
Srava	atra
dinavyayAntyA	dinajyayAntyA
iti	iti
pAWa	pAWaH
brahmaSuBoktasyadyudalAgnatItkraBajyAM	brahmaguptoktasyadyudalAnnatotkramajyAM
svAhorAtrArDa^saMguRAM	svAhorAtrArDasaMguRAM
viBajet	viBajet
vyAsArDena	vyAsArDena
PalInA	PalonA
dyudalAnyajyA$TavA	dyudalAntyajyA$TavA
Ceda	CedaH
1	11
asyAnurupamevEtat	asyAnurupamevEtat
3	3
aca	atra
civyayA	trijyayA
haret	haret
vfti	iti
sADu	sADu
pratiBAti	pratiBAti
260	260
sidDAntaSeKare	sidDAntaSeKare
idAnIM	idAnIM
SaNkacCAyAByAM	SaNkucCAyAByAM
karRa	karRaM
tasmAcCaNgackkAyAnayanaM	tasmAcCaNkucCAyAnayanaM
ca	ca
praRAlinIWWatenAhaCAyAvargAcCaNkvatyA	SAlinIvfttenAha^CAyAvargAcCaNkuH^kftyA
sametA^nmUlaM	sametAnmUlaM
karRestatkteH	karRastatkfte
SaN	SaNku
vargam	vargam
tyatfo	tyaktvA
mUlaM	mUlaM
syAtpraBA	syAtpraBA
karRavargAt	karRavargAt
mfjuM	mUlaM
SaN	SaNku
statpraBAvargaMOnAt	statpraBAvargahInAt
48	48
mahA1cCAyAvargayogamUlaM	mahA1cCAyAvargayogamUlaM
trijyArupo	trijyArUpo
mahAkarRaH	mahAkarRaH
izwacCAyABUladdAdaSAkulaSyaN	izwacCAyANguladvAdaSANgulaSaNku
vargeyIganmUlamizwakarRe	vargayogamUlamizwakarRaH
evamanyArDe$pi	evamantyArDe$pi
SNkucCAyASbdArTO	SaNkucCAyASabdArTo
drazwavyaH	drazwavyaH
SaN^sCAyayI	SaNkacCAyayoH
kIwiBujArupalvAt	kowiBujArUpatvAt
taddargasya	tadvargasya
kaRebargatvamupapadyate	karRavargatvamupapadyate
uktamAyEBawana	uktamAryaBawena
yacEva	yaScEva
BujAvarga	BujAvargaH
kIwIvargaSca	kowIvargaSca
karRavarga	karRavargaH
sa	saH
iti	iti
tasmAt	tasmAt
kaRevargamUlaM	karRavargamUlaM
karRa	karRa
iti	iti
yujyate	yujyate
eva	eva
taTA	taTA
karRevargAcCfN	karRavargAcCaNku
vargasya	vargasya
BujAvargasya	BujAvargasya
vA	vA
tyAgI	tyAge
SizwaM	SizwaM
taditaravargastasya	taditaravargastasya
mUlaM	mUlaM
tayIranyatara	tayoranyatara
iti	iti
yuktamuktam48	yuktamuktam^48
۰dUda	idAnImizwacCAyAnayanArTaM
nijAntaraGnayeIBevadyaduzRaraSmikrgayo	nijAntaraGnayorBavedyaduzwaraSmikarRayoH
yuti2	yuteH2
padaM	padaM
prakIrttitA	prakIrttitA
praBA$TavA	praBA$TavA
manIziBiH	manIziBiH
44	49
w	1
mahARNkackAyAbagEyIgamUlaM	mahASaNkucCAyAvargayogamUlaM
dfti	iti
sADu	sADu
pratiBAti	pratiBAti
2	2
Srata	ata
yute	yuteH
padaM	padaM
dikOrttitA	dikIrttitA
iti	iti
mU	mU
pAWataTA	pAWastaTA
Dute	yuteH
padAdikOrtitA	padAdikIrttitA
iti	iti
dvi	dvi
pAWaya^5^Krasya	pAWaSca^asya
Slokasya	Slokasya
vyAKyAsIDva~Ina	vyAKyA^sADvo^na
pratiBAti	pratiBAti
caca	atra
yuktirityato$nantaramagrikaMIkasTavitaraRamevAsti	yuktirityato$nantaramagriSlokasyAvataraRamevAsti
tadiha	tadiha
raMSaraKakaparagyarayA	leKakaparagyarayA
SOkasyAsya	SlokasyAsya
vyAKyopayaktiYca	vyAKyopayattiSca
nABUitetyavagamyate$tI	nASitetyavagamyate$to
liKyate	liKyate
ca	ca
saTA	mayA
viIkzitadA5TavagamAya	kiYcittadASayAvagamAya
yaTAuyaRaramikarRayI	yaTA^uzRaraSmikarRayoH
uzRaraSmihOMdaRarka	uzRaraSmirdvAdaSakaM
karRaya	karRaSca
tAtkAlikaJAyAkarRa	tAtkAlikacCAyAkarRaH
tayo	tayoH
nijAntarannayodvAdaSAnAM	nijAntaraGnayoHdvAdaSAnAM
tAtkAlikasya	tAtkAlikasya
CAyAkarRasya	CAyAkarRasya
ca	ca
yadantaraM	yadantaraM
tena	tena
guRitayoyuta	guRitayoHyuteH
yogasya	yogasya
padaM	padaM
mUlaM	mUlaM
SrayavA	aTavA
prakArAnataraRa	prakArAntareRa
manEOzEOBi	manIzIBiH
praBA	praBo
kvAyA	CAyA
kaTitA	kaTitA
atra	atra
vAsanAdvAdaSAnAM	vAsanAdvAdaSAnAM
CAyAkarzasya	CAyAkarRasya
ca	ca
vargAntaramUKaM	vargAntaramUlaM
kAryati	CAyeti
prasidDameva	prasidDameva
kvAyAcetrapariBAyayA	CAyAkzetrapariBAzayA
vargAntaraM	vargAntaraM
ca	ca
yogAntaraGAtasamamiti	yogAntaraGAtasamamiti
dvAdayAnAM	dvAdaSAnAM
kAyAkarRasya	CAyAkarRasya
ca	ca
yadantaraM	yadantaraM
tena	tena
idaRa	dvAdaSa
kAyAkaRe	CAyAkarRa
ca	ca
pfTak	pfTak
guRavivA	guRayitvA
tayoryAMkI	tayoryoge
dvAdaSyAnAM	dvAdaSAnAM
CAyAkarRasya	CAyAkarRasya
ca	ca
vargAntaramebAtastanmUlaM	vargAntaramevAtastanmUlaM
kAyetyupapaBraM	CAyetyupapannaM
nijAntarannayorityAdi	nijAntaraGnayorityAdi
tripraSnADyAyaH	tripraSnADyAyaH
26^1	291
nijaSabdena	nijaSabdena
maDyANgakarRezwakarROM	maDyAhnakarRezwakarRO
gwadyete	gfhyete
tayorantaramAdAya	tayorantaramAdAya
tenozRaraSmikaROM	tenozRaraSmikarRO
uzRaraSmiddIdaSaka	uzRaraSmirdvAdaSakaM
tatsambanDinO	tatsambanDinI
dinadalezwakarRO	dinadalezwakarRO
hftvA	hatvA
tayoryogaM	tayoryogaM
kalvA	kftvA
tayormUlaM	tayormUlaM
grAhyam	grAhyam
sA	sA
manIziBiH	manIziBiH
izwA	izwA
prameti	praBeti
kIrtteitalcarGaH	kIrttitetyarTaH
atra	atra
yukti	yuktiH
yadA	yadA
nataprARA	nataprARAH
paYcadaSGawikAprAReBya	paYcadaSaGawikAprAReByaH
KABvavedezu^saMKyeByI$DikA	KABravedezusaMKyeByo$DikA
Bavanti	Bavanti
tadotkramajyAgrahaRaprakAraM	tadotkramajyAgrahaRaprakAraM
BujaNgaprayAtenAha	BujaNgaprayAtenAha
tiTiByo	tiTiByo
15	15
GawIByo$Dik	GawIByo$DikaM
cennataM	cennataM
syAt	syAt
vijIvADivotyakramajyAsametA	trijIvADikoTakramajyAsametA
BavedutkramajyA$DikAsya	BavedutkramajyA$Dikasya
kramItTa	kramotTaM
DanuH	DanuH
KANkAM0BAgADik	KANka^90^BAgADikaM
vyastacApam	vyastacApam
50	50
SrayaM	ayaM
glIkaSva^cizvapi	SlokaSca^trizvapi
pustakezu	pustakezu
svazwapAWa	BrazwapAWaH
eva	eva
vartate	varttate
yaTA	yaTA
SrA	aA
pustaketiTiByo$DikaM	pustake^tiTiByo$DikaM
cannalaM	cennataM
syAt	syAt
ci	vi
jIvA^vikItTakramajyA	jIvADikotTakramajyA
sametA	sametA
BavedutkramajyADikasya	BavedutkramajyADikasya
krametTa	krametTaM
DanujyA~qBAgAdikaM	DanurjyANkaBAgAdikaM
vyastacApam	vyastacApam
硕	dvi
pulake—	pustake
SSAS	ca
tiTiByo	tiTiByo
GawOByo$cikaM	GawIByo$DikaM
cenna	cenna
tat	tat
sTAt	syAt
civADikIsTa	trivADikIsTa
kramavyAsametaM	kramajyAsametam
Bavedutkra^majyADikapava	BavedutkramajyADikyavA
tatItya	tatotTaM
DanuH	DanuH
KAdDaBogAdikaM	KANkaBogAdikaM
vyastacApam	vyastacApam
dvi	dvi
pustake	pustake
ca	ca
tiTiByo	tiTiByo
GawOByI$cikaM	GawoByo$DikaM
cenna^ta~	cennataM
syAt	syAt
trivaDikIsTa	trivaDikosTa
kramajyAsametam	kramajyAsametam
BavadutkramavyADikA	BavedutkramajyADikA
vA	vA
tatotTa	tatotTaM
DanuNgArkaBAgAzirka	DanuNgArkaBAgADikaM
vyasracApam	vyastacApam
ezu	ezu
civiDapAWezu	triviDapAWezu
Sracarata	akzarataH
Kalpe$pi	svalpe$pi
Bede$rDadfzwayA	Bede$rTadfzwyA
manhrAneva	mahAneva
Bedo$stOti	Bedo$stIti
SrIpate	SrIpateH
glIkaSvAyaM	SlokaScAyaM
brahmaSumIktasya	brahmaguptoktasya
utkramajOvAByaDikakramajyayA	utkramajIvAByaDikakramajyayAM
saMDutaM	saMyutaM
DanurDanuzA	DanurDanuzA
vyastaviSuqa़O	vyastaviSudDO
IOnATarAsava	hInAScarAsavaH
pUrvavacCazam	pUrvavacCezam
SrasyEva	asyEva
spazWOkaraRamiti	spazwakiraRamiti
suDOBirvivecanIyam	suDIBirvivecanIyam
262	262
sidDAntarRaraNkura	sidDAntaSeKare
paYcadaSaGawikADikaM	paYcadaSaGawikADikaM
yadA	yadA
nataM	nataM
tadA	tadA
paYcadaSaGawikAnAM	paYcadaSaGawikAnAM
trijyevItkramajyA	trijyEvotkramajyA
aDikAsUnAM	aDikAsUnAM
kramajyAM	kramajyA
gwahItvA	gfhItvA
trijyAyAM	trijyAyAM
yojayet	yojayet
utkramajyA	utkramajyA
Bavati	Bavati
taTA	taTA
utkramacApAnayane$pi	utkramacApAnayane$pi
trijyAmapanIya	trijyAmapanIya
navatiM	navatiM
BAgAn	BAgAn
gwarCIlvA$DikajyAyA	gfhItvA$DikajyAyAH
kramacApaM	kramacApaM
gwahItvA	gfhItvA
navaticApezu	navaticApezu
yojayet	yojayet
utkramajyAcAeM	utkramajyAcApaM
BavatItyarTaH	BavatItyarTaH
aca	atra
yuktipaYcadaSGawikzASvat	yuktiHpaYcadaSaGawikAScet
trijyevItkramajyeti	trijyEvotkramajyeti
vijM^va	trijyEva
raMhyate	gfhyate
aDikaMDet	aDikaScet
chitijInJaRqalAntare$rkastizWati	kzitijonmaRqalAntare$rkastizWati
tata	tat
unmaRqalAdaDaH	unmaRqalAdaDaH
kramajyA	kramajyA
pravarttata	pravarttate
tataH	tataH
kramazyocuktAtrijyOtkramajyati	kramajyA^yuktA^trijyotkramajyeti
yuktametat	yuktametat
ezEva	ezEva
yuntiScApe$pIti	yuktiScApe$pIti
jYeyam	jYeyam
50	50
evaM	evaM
dinasya	dinasya
gatANgamyAddA	gatAdgamyAdvA
bahuDA	bahuDA
kvAyAnayanaM	CAyAnayanaM
pradaRryADunA	pradarSyADunA
klAyaJaॅI	CAyAto
SatAnAM	gatAnAM
gantavyAnAM	gantavyAnAM
vA	vA
GawikAnAmAnayanArTa	GawikAnAmAnayanArTaM
vimalAdyutizWattiyamAha	vimalAdyutivfttadvayamAha
vizuvacCatisaMguRA	vizuvacCrutisaMguRA
cijOvA	trijIvA
vihftezwaSravasA1	vihftezwaSravasA1
PalaM	PalaM
kurmOvyA	kumOrvyA
uga2danyadiSIrvihInayuktaM	uga2^danyadiSorvihInayuktaM
triBamOrvyA	triBamOrvyA
guRitaM	guRitaM
BavamAptacApam	BramAptacApam
51	51
carasaMyutaMOnamOpsitAH	carasaMyutahInamIpsitAH
syurgataSezANGasava3sta	syurgataSezAhyasava3^sta
uvratAKyAH	unnatAKyAH
tadavAptamapAsya	tadavAptamapAsya
vA	vA
cirmOvyA4svavaSezIrakramakArmukaM	trimOrvyA4stvavaSezotkramakArmukaM
natA	natAH
Ku^52	syuH52
SrayamarTizwadina	ayamarTaHIzwadine
izwAM	izwAM
kAyAmuddiSya	CAyAmuddiSya
kaYcit	kaScit
kAlaM	kAlaMM
pfcCati	pfcCati
tasyAstAcCAyAyAstAtkAlika	tasyAstacCAyAyAstAtkAlikaH
karRa	karRa
kAryaH	kAryaH
kaTamizwakAle	kaTamizwakAle
uddizwa	uddizwAM
klArsTA	CAyAM
vargIkkaya	vargIkftya
1	1
atra	atra
mU	mU
pustake	pustake
varlakanObyA~	valaMkamOrvyA
2	2
udaganyadigIviIna	udagenyadiSovihIna
3	3
stadUnakAyyA	stadUnakAKyA
4	4
hyavarzIzItkra	hyavaSezotkrama
BUti	iti
pAWAntarARi	pAWAntarARi
dvi	dvi
pustake	pustake
ca	ca
vizwapacCrati	vizwapacCruti
vidfzwaSravasAvalokamObyAudaganDadiTI	vidfzwaSravasAvalokamOrvyAudagenyadiSo
viIOna	vihIna
carasaMyUtIMOnamAsitA	carasaMyutahInamApsitA
nadUnatAKyA	nadUnatAKyAH
tadapAttamapAsya	tadapAttamapAsya
grati	grati
pAWAntarARi	pAWAntarARi
tripraSnADyAyaH	tipraSnADyAyaH
263	263
zvAdfSkavargeRa	dvAdaSakavargeRa
sahri	saha
yuktA	yuktvA
mUlamizwakarRe	mUlamizwakarRaH
sa	sa
hrAraka	hArakaH
tato	tato
vizuvalkRaguRitAM	vizuvatkarRaguRitAM
cijyAmizwakarRana	trijyAmizwakarRena
hftvA	hftvA
labDaM	labDaM
CdI	Cedo
Bavati	Bavati
KAhIrAtrazwajTArupaM	svAhorAtrezwajyArUpaM
tatPalasudaganDadiSI	tatPalamudagatyadiSoH
yAsyasImyagIlayI	yAmyasomyagolayoH
kumOrvyA	kumOrvyA
citijyayA	kzitijyayA
hrInayuktaM	hInayuktaM
kalvA	kftvA
trijyayA	trijyayA
guzayitvA	guRayitvA
KAiMIrAtrArDena	svAhorAtrArDena
viBajya	viBajya
yalaByate	yallaByate
tasyAptamiti	tasyAptamiti
saMjYA	saMjYA
tasyAmaMsya	tasyAptasya
cApaM	cApaM
CAtvA	kftvA
tataH	tataH
sOByagIle	sOmyagole
carajyAM	carajyA
yojayet	yojayet
yAmye	yAmye
SoDayet	SoDayet
evaM	evaM
saMskftAsta	saMskftAste
dinasya	dinasya
utretAKyA	unnatAKyA
gataSzAH	gataSezAH
prAkkapAle	prAkkapAle
gatasaMjYA	gatasaMjYAH
SraparakapAle	aparakapAle
gzAH	SezAH
prARA	prARAH
syu	syuH
yadi	yadi
kedasaMjYAt	CedasaMjYAt
citijyA	kzitijyA
na	na
SuDyati	SuDyati
sOmyagIle	sOmyagole
tatra	tatra
viparItaDanaSIDane	viparItaDanaSoDane
CAte	kfte
yacCezaM	yacCezaM
tiyAsArDena	tadvyAsArDena
hftvA	hatvA
KANgIrAtrADena	svAhorAtrArDena
haret	haret
labDasyApta^saMjYA	labDasyAptasaMjYA
taccApaM	taccApaM
caradalaprAReByaH	caradalaprAReByaH
SoDayet	SoDayet
SezA	SezAH
prARA	prARA
dinaSezA	dinaSezA
Bavanti	Bavanti
vA	vA
aTavA	aTavA
tadavApta	tadavAptaM
yasyAptasaMjYA	yasyAptasaMjYA
kvatA	kftA
tadavApta	tadavAptaM
trijyAyA	tijyAyA
viSoDya	viSoDya
SezasyotkramajyArDedyApaM	SezasyotkramajyArDEScApaM
kuryAt	kuryAt
tatra	tatra
yA	yA
liptAstA	liptAstA
nataprARA	nataprARA
Bavati	Bavanti
atreoziyadviparItaSoDanenApta	atrApi^yadviparItaSoDanenAptaM
tat	tat
trijyayA	trijyayA
1	1
jayet	jayet
tadutkramakArmukakramajyABiruktavat	tadutkramakArmukakramajyABiruktavat
kAryaM	kAryaM
talliptAKyA	talliptAKyA
nataprARA	nataprARA
Bavati	Bavanti
Sratra	atra
vAsanA	vAsanA
yaTA	yaTA
kAlAcCAyAnayanamujYAM	kAlAcCAyAnayanamuktaM
taTEva	taTEva
ka़AyAto	CAyAto
vEparItyena	vEparItyena
